date,tavg,tmin,tmax,trange,DIF,rain,rad,sunrise,sunset,suntime
20240101,5.3,0.09,11.69,11.6,3.0,0.0,1.3,07:41:00,17:27:00,09:46:00
20240102,5.5,4.18,7.68,3.5,1.6,0.0,0.4,07:41:00,17:28:00,09:47:00
20240103,3.3,2.53,4.32,1.8,-0.6,0.508,0.0,07:42:00,17:29:00,09:47:00
20240104,3.3,-1.84,10.84,12.7,4.9,0.0,1.6,07:42:00,17:29:00,09:47:00
20240105,6.5,2.42,10.06,7.6,3.3,0.0,0.5,07:42:00,17:30:00,09:48:00
20240106,3.7,-0.81,9.4,10.2,3.5,0.0,1.6,07:42:00,17:31:00,09:49:00
20240107,0.3,-3.7,4.68,8.4,2.3,0.254,1.4,07:42:00,17:32:00,09:50:00
20240108,-2.0,-7.07,4.94,12.0,4.2,0.0,1.7,07:42:00,17:33:00,09:51:00
20240109,2.8,-2.1,7.35,9.4,3.4,4.318,0.5,07:42:00,17:34:00,09:52:00
20240110,1.8,-1.54,6.16,7.7,2.6,0.508,1.2,07:42:00,17:35:00,09:53:00
20240111,2.5,-2.42,9.05,11.5,2.6,0.0,1.0,07:42:00,17:36:00,09:54:00
20240112,5.1,-0.02,11.32,11.3,4.1,0.0,1.5,07:42:00,17:37:00,09:55:00
20240113,2.1,-2.81,9.68,12.5,5.5,0.0,1.7,07:41:00,17:37:00,09:56:00
20240114,5.8,-1.01,13.85,14.9,7.2,6.3500000000000005,1.0,07:41:00,17:38:00,09:57:00
20240115,0.5,-3.02,5.79,8.8,2.7,0.0,1.8,07:41:00,17:39:00,09:58:00
